id,center_id,meal_id,YearRank,Years,Quarters,week,base_price,checkout_price,emailer_for_promotion,homepage_featured,num_orders
1016940,10,1525,1,Year 1,Q1,1,281.33,243.5,0,0,824
1039159,10,2322,1,Year 1,Q1,1,386.09,320.1,0,0,717
1050666,10,2126,1,Year 1,Q1,1,486.00,485,0,0,67
1066768,10,2290,1,Year 1,Q1,1,297.85,295.85,0,0,1566
1072972,10,2704,1,Year 1,Q1,1,281.33,243.5,0,0,473
1126518,10,1962,1,Year 1,Q1,1,614.04,581.03,1,0,742
1129188,10,1727,1,Year 1,Q1,1,426.86,425.86,0,0,1419
1142165,10,1109,1,Year 1,Q1,1,276.48,231.86,1,0,2672
1145135,10,2492,1,Year 1,Q1,1,387.03,388.03,0,0,162
1169567,10,1445,1,Year 1,Q1,1,630.53,631.53,0,0,175
1174919,10,1993,1,Year 1,Q1,1,135.86,134.86,0,0,1446
1174971,10,1230,1,Year 1,Q1,1,383.21,323.01,0,0,324
1187667,10,2640,1,Year 1,Q1,1,282.33,281.33,0,0,392
1188064,10,2631,1,Year 1,Q1,1,252.23,251.23,0,0,108
1223760,10,2581,1,Year 1,Q1,1,610.13,581.03,1,0,485
1225174,10,1558,1,Year 1,Q1,1,612.13,583.03,1,0,431
1239653,10,1770,1,Year 1,Q1,1,484.03,340.53,0,0,242
1250834,10,1543,1,Year 1,Q1,1,484.03,486.03,0,0,270
1254250,10,2304,1,Year 1,Q1,1,485.03,485.03,0,0,323
1255368,10,1878,1,Year 1,Q1,1,280.33,281.33,0,0,202
1256982,10,2444,1,Year 1,Q1,1,626.62,627.62,0,0,94
1260561,10,1207,1,Year 1,Q1,1,382.18,322.07,0,0,769
1271410,10,1248,1,Year 1,Q1,1,249.29,250.29,0,0,177
1295523,10,2139,1,Year 1,Q1,1,428.74,338.56,0,0,298
1299656,10,1247,1,Year 1,Q1,1,446.23,387.03,0,0,53
1324365,10,2306,1,Year 1,Q1,1,335.68,244.5,0,1,824
1347181,10,2707,1,Year 1,Q1,1,196.00,196,0,0,1350
1350578,10,1885,1,Year 1,Q1,1,133.86,135.86,0,0,1673
1366150,10,1902,1,Year 1,Q1,1,445.23,387.03,0,0,95
1371071,10,2539,1,Year 1,Q1,1,126.16,133.86,0,1,647
1378864,10,1311,1,Year 1,Q1,1,173.66,174.66,0,0,595
1383092,10,2826,1,Year 1,Q1,1,328.83,328.83,0,0,810
1390055,10,2867,1,Year 1,Q1,1,626.62,627.62,0,0,107
1393410,10,1778,1,Year 1,Q1,1,184.36,184.36,0,0,742
1406902,10,2494,1,Year 1,Q1,1,243.50,243.5,0,0,41
1411421,10,1216,1,Year 1,Q1,1,454.93,455.93,0,0,54
1421148,10,1847,1,Year 1,Q1,1,244.50,243.5,0,0,26
1421509,10,1803,1,Year 1,Q1,1,210.52,173.66,0,0,501
1421626,10,1198,1,Year 1,Q1,1,196.00,129.04,0,0,269
1436842,10,1062,1,Year 1,Q1,1,181.39,181.39,0,0,865
1456765,10,2577,1,Year 1,Q1,1,281.33,282.33,0,0,501
1460982,10,1971,1,Year 1,Q1,1,322.04,261.93,1,0,472
1477252,10,1754,1,Year 1,Q1,1,278.39,279.39,0,0,932
1479659,10,1438,1,Year 1,Q1,1,270.63,242.5,0,0,95
1497497,10,2760,1,Year 1,Q1,1,243.53,241.53,0,0,297
1005164,101,1230,1,Year 1,Q1,1,386.06,321.07,0,1,1026
1009923,101,2707,1,Year 1,Q1,1,190.12,190.12,0,0,837
1014638,101,1803,1,Year 1,Q1,1,186.24,161.05,0,0,177
1021321,101,1311,1,Year 1,Q1,1,225.10,169.81,0,0,242
1043836,101,2640,1,Year 1,Q1,1,282.33,282.33,0,0,95
1049203,101,1727,1,Year 1,Q1,1,445.23,445.23,0,0,366
1093402,101,2494,1,Year 1,Q1,1,272.63,243.5,0,0,42
1099172,101,1543,1,Year 1,Q1,1,485.03,484.03,0,0,53
